Country,Article,Continent,Overseas Pakistani population (By Country),Extra Information,Overseas Pakistani Population by Continent,Population (by Continent),Year, Remittance ($ billion)
Saudi Arabia,Pakistanis in Saudi Arabia,Asia,2600000,,Asia,4827032,1976,0.412
United Arab Emirates,Pakistanis in the United Arab Emirates,Asia,1500000,,Americas,1353255,1977,0.8721
Oman,Pakistanis in Oman,Asia,231685,2016 official estimate,Europe,2126713,1978,1.3093
Qatar,Pakistanis in Qatar,Asia,125000,2016 estimate,Africa,285111,1979,1.5016
Bahrain,Pakistanis in Bahrain,Asia,117000,,Oceania,67607,1980,2.0476
Kuwait,Pakistanis in Kuwait,Asia,109853,2016 official estimate,Total overseas Pakistani population,8840732,1981,2.0671
Malaysia,Pakistanis in Malaysia,Asia,59281,2017 official estimate,,,1982,2.5881
Iran,Pakistanis in Iran,Asia,40000,,,,1983,2.9402
Hong Kong,Pakistanis in Hong Kong,Asia,18094,2016 Official HK Census,,,1984,2.5808
Jordan,Pakistanis in Jordan,Asia,17000,,,,1985,2.5371
China,Pakistanis in China,Asia,15000,,,,1986,2.4464
Japan,Pakistanis in Japan,Asia,14312,2017 official estimate,,,1987,2.1805
South Korea,Pakistanis in South Korea,Asia,12697,,,,1988,1.8719
India,Pakistanis in India,Asia,10000,,,,1989,2.0173
Thailand,Pakistanis in Thailand,Asia,6500,,,,1990,2.0063
Singapore,Pakistanis in Singapore,Asia,5000,,,,1991,1.5487
Iraq,Pakistanis in Iraq,Asia,5000,,,,1992,1.5736
Yemen,Pakistanis in Yemen,Asia,3024,,,,1993,1.4463
Philippines,Pakistanis in Philippines,Asia,1500,,,,1994,1.7493
Bangladesh,Pakistanis in Bangladesh,Asia,1004,,,,1995,1.7122
Afghanistan,Pakistanis in Afghanistan,Asia,768,,,,1996,1.2841
Kazakhstan,Pakistanis in Kazakhstan,Asia,559,,,,1997,1.7073
Kyrgyzstan,Pakistanis in Kyrgyzstan,Asia,550,,,,1998,1.172
Indonesia,Pakistanis in Indonesia,Asia,700,,,,1999,0.996
Lebanon,Pakistanis in Lebanon,Asia,690,,,,2000,1.075
Brunei,Pakistanis in Brunei,Asia,1500,,,,2001,1.461
Azerbaijan,Pakistanis in Azerbaijan,Asia,215,,,,2002,3.554
Syria,Pakistanis in Syria,Asia,481,,,,2003,3.964
Turkmenistan,Pakistanis in Turkmenistan,Asia,20,,,,2004,3.945
Sri Lanka,Pakistanis in Sri Lanka,Asia,200,,,,2005,4.28
Uzbekistan,Pakistanis in Uzbekistan,Asia,142,,,,2006,5.121
Tajikistan,Pakistanis in Tajikistan,Asia,53,,,,2007,5.998
Maldives,Pakistanis in Maldives,Asia,450,,,,2008,7.039
Nepal,Pakistanis in Nepal,Asia,85,,,,2009,8.717
Vietnam,Pakistanis in Vietnam,Asia,100,,,,2010,9.69
Myanmar,Pakistanis in Burma,Asia,100,,,,2011,12.263
North Korea,Pakistanis in North Korea,Asia,5,,,,2012,14.007
